transcript_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
NM_033552,0,0,0,0,0,0,0,0,0,0,0,0
NM_133346,822,816,711,661,708,340,718,786,839,504,1233,761
NM_008579,0,0,0,0,0,0,0,0,0,0,0,0
NM_029455,0,0,0,0,0,0,0,0,0,0,0,0
NM_028637,170,227,208,178,164,73,159,153,141,98,216,232
NM_001013802,6,13,4,1,6,5,7,9,6,3,5,7
NR_028589,60,59,59,35,51,18,64,86,90,48,170,44
NM_010274,536,378,447,447,248,275,254,403,470,482,366,602
NM_027478,585,759,581,428,576,257,489,535,593,401,740,600
NM_080463,3647,4165,3694,2661,3393,1601,3261,2868,3027,2089,4201,4388
NM_080462,245,301,286,156,224,127,212,139,132,144,188,303
NM_007891,55,0,0,0,62,60,63,277,270,169,112,66
NM_001113569,93,227,9,10,117,77,101,5,80,126,232,303
NR_028585,336,105,275,145,109,89,233,0,183,92,0,175
NM_146115,410,524,491,321,405,159,363,406,516,252,568,458
NM_146116,6685,7629,6271,4893,6174,2923,6416,6418,7086,5052,10087,7279
NM_177345,1248,1862,1560,1125,1188,671,1297,1496,1701,1113,2245,1620
NM_177344,307,362,293,209,233,127,216,249,274,218,373,299
NM_177611,0,8,6,6,0,0,0,3,14,5,19,5
NM_013839,709,414,780,618,615,463,1869,2418,740,301,3955,2889
NM_177343,156,223,228,220,168,120,176,110,119,0,130,279
NM_001033389,581,688,739,478,418,256,716,910,760,487,1310,658
NM_001289857,0,0,0,0,0,0,0,0,0,0,0,0
NM_001289856,0,0,0,0,0,0,0,0,0,0,0,0
NR_033505,0,0,0,0,0,0,0,0,0,0,0,0
NR_033507,0,0,0,0,0,0,0,0,0,0,0,0
NM_010309,2,0,1,4,66,1,2,7,0,3,2,0
NM_013908,1622,1870,1358,1384,1384,576,1243,1322,1584,1037,2427,1611
NR_105972,8,4,4,5,1,2,4,10,7,6,14,1
NM_010902,3815,4360,3933,3018,3363,1742,3392,3775,4158,3161,5756,4302
NR_105970,0,0,0,0,0,0,0,0,0,0,0,0
NR_105971,0,0,1,1,1,1,1,1,1,1,1,1
NM_172117,164,221,180,159,187,78,185,230,331,184,395,167
NM_172118,1560,1661,1359,1089,1810,621,1741,1289,1911,1207,2038,1206
NM_146898,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006669,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080971,7,3,2,7,6,3,5,5,11,3,9,12
NM_001037098,4,2,0,4,323,1,0,184,1,153,0,2
NM_001037099,0,0,0,0,0,0,0,0,0,0,0,0
NM_008780,63,111,96,106,87,46,64,41,56,33,78,111
NM_178254,0,0,0,0,0,0,0,0,4,0,0,0
NM_025901,416,576,431,301,455,182,426,541,625,337,753,443
NM_026634,0,3,0,0,0,2,0,0,0,0,0,2
NM_029692,0,0,0,0,0,0,0,0,0,0,0,0
NM_026630,4,0,3,0,0,0,0,0,0,0,5,0
NR_046364,0,0,107,0,0,0,0,38,0,0,0,0
NM_025587,6270,8759,7450,5994,6264,3189,6247,7012,8148,5024,9933,7539
NM_133849,0,0,0,0,0,0,0,0,0,0,0,0
NM_133847,3267,3702,3339,2447,2832,1355,3001,3432,3769,2514,5575,3815
NM_001134300,0,0,0,0,0,0,583,0,0,0,0,3
NM_133840,300,452,412,311,317,157,371,336,298,229,442,448
NM_001276448,0,0,0,0,0,0,0,0,0,0,0,0
NM_130860,1681,1957,1673,1470,1571,728,1483,1414,1672,1074,2508,1888
NM_020267,3777,4167,3522,2689,3485,1655,3521,3353,3664,2732,5714,3750
NM_144884,810,943,846,654,764,391,722,801,897,558,1155,856
NM_144885,1290,1662,1427,1089,1125,555,1137,1097,1281,803,1742,1579
NM_144886,364,557,425,341,342,140,398,449,601,330,775,508
NM_144887,2822,3114,3015,2135,2588,1272,2761,3475,4097,2665,5839,3203
NR_015462,0,0,0,0,0,0,0,0,0,0,0,0
NR_015463,90,110,52,148,90,51,67,95,129,177,322,216
NM_198090,2174,1363,2160,796,1890,526,770,427,3898,1522,3584,2595
NM_144883,0,0,0,0,0,0,0,0,0,0,0,0
NM_028479,272,237,233,207,229,95,196,255,274,189,475,254
NM_001135657,2,0,0,2,0,0,1,1,0,1,1,1
NM_009564,562,615,546,414,466,195,435,462,501,333,721,598
NM_199304,226,185,154,130,130,71,149,157,154,121,245,190
NM_199303,0,0,0,0,0,0,0,0,0,0,0,0
NM_199302,910,1054,837,741,751,327,631,699,713,463,987,994
NM_029475,270,197,266,117,285,19,33,92,117,175,170,176
NM_181416,50,78,47,37,66,25,58,206,378,252,340,48
NM_181417,885,501,826,456,783,241,769,867,932,670,1414,881
NR_029568,0,0,0,0,0,0,0,0,0,0,0,0
NM_029308,0,0,0,0,0,0,0,0,0,0,0,0
NM_011871,572,734,581,460,568,235,556,657,684,488,925,657
NM_029305,0,0,0,0,0,0,0,0,0,0,0,3
NM_001164689,0,0,0,0,232,0,0,0,0,0,0,525
NR_029566,0,0,0,0,0,0,0,0,0,0,0,0
NM_175462,0,0,0,0,0,0,0,0,0,2,0,0
NM_175466,280,351,242,223,269,94,184,210,257,191,330,276
NM_175467,0,0,0,0,0,0,0,0,0,0,0,0
NM_175464,47,45,31,32,42,21,40,19,24,31,53,57
NM_175465,2471,2937,2260,2051,2291,1059,2467,1852,1992,1429,3173,2820
NM_007656,3988,10525,8492,5719,3180,3294,7457,7863,4788,5665,12414,4016
NM_173377,0,0,0,0,0,0,0,0,0,0,0,0
NM_007652,1125,1367,1108,717,1206,473,1149,725,908,772,655,1156
NM_025699,749,1005,841,577,763,381,728,782,752,517,1164,862
NM_001205370,1928,1781,1488,903,1469,696,1520,1105,1020,1184,1374,1550
NM_001205371,0,0,0,0,0,0,0,0,0,0,1,0
NM_146808,0,0,0,0,0,0,0,0,0,0,0,0
NM_001033123_2,40,0,0,0,0,0,0,0,0,0,88,0
NM_001012723,53,24,18,24,19,13,19,8,10,9,10,35
NM_001033123_1,5,6,5,6,5,6,19,5,4,28,10,7
NM_001012725,0,0,8,0,0,0,2,4,0,0,8,0
NM_008367,0,6,3,5,4,0,3,3,2,0,7,7
NM_007788,2724,3093,2538,2038,2722,1223,2530,2687,3031,2031,4174,2801
NM_008361,25,42,26,36,20,25,17,95,21,38,172,39
NM_008261,0,0,0,0,0,0,0,0,0,0,0,0
NM_023504,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282028,0,0,0,3,0,0,0,0,0,0,0,0
NM_001243240,58,89,107,43,134,41,118,41,84,112,121,69
NM_001080550,0,0,0,0,0,0,0,0,0,0,1,0
NM_153075,30,40,38,36,31,18,23,23,42,27,63,28
NM_153077,0,0,0,0,0,0,0,2,4,0,0,0
NM_025565,0,0,0,0,0,0,0,0,0,0,0,0
NM_028093,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177857,0,0,0,0,0,0,0,0,0,0,0,0
NM_146938,0,0,0,0,0,0,0,0,0,0,0,0
NM_146939,0,0,0,0,0,0,0,0,0,0,0,0
NM_001040689,73,39,23,29,42,36,56,48,37,36,100,53
NM_199059,0,0,0,0,0,0,0,0,0,0,0,0
NM_205783,1,3,4,7,1,0,4,0,0,1,2,2
NR_040510,0,0,0,0,0,0,0,0,0,0,0,0
NR_040511,0,0,0,0,0,0,0,0,0,0,0,0
NR_040514,0,0,0,0,0,0,0,0,0,0,0,0
NR_040516,0,0,0,0,0,0,0,0,0,0,0,0
NR_040517,0,0,0,0,0,0,0,0,0,0,0,0
NM_001039391,44,11,21,3,5,135,31,77,13,179,6,51
NM_008963,0,0,0,0,0,0,0,0,0,0,0,0
NM_011652,3,9,7,0,2,0,2,4,8,3,5,10
NM_008752,0,0,0,0,0,0,0,0,0,0,0,0
NR_037265_6,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290464,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290465,0,0,0,0,0,0,0,0,0,0,0,0
NM_175286,193,188,174,156,129,67,152,149,166,96,256,219
NM_001290463,0,0,0,0,0,0,0,0,0,0,0,0
NM_175285,300,476,367,290,304,123,298,243,247,202,433,411
NM_001271499,0,0,0,1,26,0,0,31,0,17,0,32
NM_001290669,303,169,238,199,0,157,124,263,210,0,419,0
NM_001081338,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290665,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290666,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290660,3962,5614,4388,3354,4067,2114,4152,3620,3245,2741,6408,5033
NM_178760,2306,2543,2297,1681,2033,983,2068,2283,2715,1778,3706,2593
NM_146464,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001334,15,18,5,0,0,0,0,3,0,0,0,7
NM_146114,197,259,161,0,91,44,168,161,142,0,364,211
NR_028571,2,2,0,3,1,1,0,0,1,3,5,1
NR_028572,0,3,3,4,1,0,1,3,0,2,3,1
NM_146117,0,2,0,0,2,0,0,7,0,0,0,0
NM_146118,0,0,0,0,0,0,0,0,0,0,0,0
NM_146119,2538,2894,2818,2025,2603,1224,2525,4175,5481,3297,8025,2604
NM_009963,1734,2305,1650,1556,1423,897,1120,998,866,1119,1798,2229
NM_007869,2464,2629,2419,1562,1943,940,2114,2212,2318,1617,3741,2661
NR_040625,0,0,0,0,0,0,0,0,0,0,0,0
NR_040356,0,0,0,0,0,0,0,0,0,0,0,0
NM_178411,583,641,559,454,460,190,462,445,632,326,811,592
NR_040354,0,0,0,0,0,0,0,0,0,0,0,0
NM_023326,628,646,537,481,562,282,468,376,366,312,524,691
NR_040353,382,462,314,175,303,173,274,176,145,135,197,376
NM_009184,0,0,0,0,0,0,0,0,0,0,0,0
NM_001113179,0,0,0,0,2,2,0,187,199,174,29,4
NM_178634,0,0,0,0,0,0,0,0,0,0,0,0
NR_040359,0,0,0,0,0,0,0,0,0,0,0,0
NR_030683,0,0,0,0,0,0,0,0,0,0,0,0
NR_030769,0,0,0,0,0,0,0,0,0,0,0,0
NM_001177707,365,486,121,86,13,81,145,275,237,324,1027,24
NM_001011735,0,0,0,0,0,0,0,0,0,0,0,0
NM_001123362,0,0,0,0,0,0,0,0,0,0,0,0
NR_110957,102,1,0,19,20,2,18,2,3,1,7,5
NR_030762,1,4,6,1,2,2,3,3,3,1,5,1
NM_008968,11434,13078,11064,8797,9209,4618,9230,9801,7982,9395,17567,11952
NM_008969,1308,2102,1405,1152,1195,493,1050,1707,2155,1169,2249,1615
NM_001039939,1790,1966,1718,1648,1598,728,1543,1543,2006,1496,3296,2011
NR_029649,0,0,0,0,0,0,0,0,0,0,0,0
NM_018851,1829,2002,1427,1013,1376,624,2095,2857,2998,2701,5283,1554
NM_008961,349,410,370,266,322,167,302,266,314,236,379,359
NM_018852,0,0,0,0,0,0,0,0,0,0,0,0
NM_013865,1381,1643,1548,1065,1294,554,1377,1446,1786,1011,2066,1679
NM_001159543,33,22,21,60,70,20,16,12,0,8,38,155
NM_001037762,92,95,153,77,120,37,11,186,186,129,303,169
NM_146752,0,0,0,0,0,0,0,0,0,0,0,0
NM_146753,0,0,0,0,0,0,0,0,0,0,0,0
NM_019677,264,254,232,117,194,119,200,132,248,141,264,182
NM_001159549,0,2,0,0,0,0,0,3,0,2,0,5
NM_001159548,0,0,17,0,0,0,0,1,0,0,0,0
NM_001143683,26,18,28,22,23,10,17,8,9,10,9,29
NR_038349,6,7,10,0,0,0,0,13,4,6,16,10
NM_013460,49,67,45,41,38,17,32,39,34,14,39,63
NM_026251,0,0,0,0,0,0,0,0,0,0,0,0
NR_033642,31,30,14,25,22,11,29,11,13,12,23,24
NM_027040,0,3,0,0,0,0,0,0,0,0,0,0
NM_001111029,0,0,0,0,0,0,0,0,0,0,164,0
NM_015792,2308,2782,2345,1932,2158,1074,2298,2281,2593,1665,3440,2633
NM_146265,0,0,0,0,0,0,0,0,0,0,0,0
NM_138313,2297,1769,1892,1476,1530,800,1413,1219,1429,927,1869,2300
NR_033467,0,0,0,0,0,0,0,0,0,0,0,0
NM_001110513,353,359,248,253,245,108,229,166,172,136,349,260
NM_001110512,11,65,2,4,46,0,2,62,85,4,120,51
NM_178084,81,64,18,46,62,53,35,68,36,68,172,79
NM_009023,20,47,28,32,15,7,13,32,42,27,58,42
NM_009020,0,0,0,0,0,0,0,0,0,0,0,0
NR_033469,0,0,0,0,0,0,0,0,0,0,0,0
NM_008561,0,0,0,0,0,0,0,0,0,0,0,0
NM_001165991,7,7,10,7,2,1,4,0,5,0,13,22
NM_001113558,0,0,0,0,0,0,0,0,0,0,0,0
NM_008569,4990,5961,4881,3751,4375,2106,4732,5232,6269,4216,8517,5670
NM_027192,1320,1363,1282,972,1084,576,1258,998,1109,681,1352,1331
NM_001011534,0,0,0,0,0,0,0,0,0,0,0,0
NM_010264,85,102,68,82,83,26,114,74,77,66,195,99
NR_037281,0,0,0,0,0,0,0,0,0,0,0,0
NM_181848,294,328,307,220,294,135,276,206,224,216,441,285
NR_028590,36,33,37,19,33,15,39,58,65,54,110,42
NR_028591,107,158,122,85,99,36,109,121,118,90,266,96
NM_001163434,13471,14688,12969,8037,9658,5815,7730,15634,20625,9522,24552,14915
NM_021450,2171,2346,2233,1554,1881,1165,2763,2009,2365,1680,3165,1829
NM_177608,2697,3039,2523,1910,2074,1235,2478,2184,2285,1777,3788,2955
NM_019771,6818,8599,7107,5217,7108,3197,6652,5895,6301,4534,7965,7656
NM_001139504,240,263,113,118,113,4,62,72,381,5,309,192
NR_037263_4,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263_5,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263_6,0,0,0,0,0,0,0,0,0,0,0,0
NM_177600,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263_1,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263_2,0,0,0,0,0,0,0,0,0,0,0,0
NR_037263_3,0,0,0,0,0,0,0,0,0,0,0,0
NM_022325,5958,7070,6706,5179,5595,2599,5697,5099,5739,3589,7583,6956
NM_001111331,97,202,149,172,110,60,117,148,187,114,260,192
NR_003258,4,568,2,3,2,199,778,142,1254,3,3,25
NR_033513,0,0,0,0,0,0,0,0,0,0,0,0
NM_177190,166,185,166,136,133,61,166,144,168,95,285,200
NM_177191,0,6,3,0,0,0,0,2,0,0,4,0
NM_025820,872,920,822,587,696,364,758,892,1004,652,1307,948
NM_027990,0,0,3,0,0,0,0,0,0,0,0,0
NM_001177543_3,0,0,0,0,0,0,0,0,197,0,0,21
NM_001244202,0,0,0,0,0,0,0,0,0,0,0,0
NM_001244201,0,0,0,0,0,0,0,0,0,0,0,0
NM_001244200,0,0,0,0,0,0,0,0,0,0,0,0
NM_001109993,68,111,91,43,44,35,70,82,43,74,113,59
NM_001177543_4,0,1,0,181,0,0,0,0,0,0,0,0
NM_013935,102,11,76,24,98,45,25,47,49,23,87,91
NM_011989,1451,1351,1460,1134,1403,619,1400,1459,1654,880,2354,1532
NR_106102,1,1,1,1,1,1,1,1,1,1,1,1
NM_026021,295,362,271,231,313,142,309,352,464,255,584,307
NM_001142335,68,152,59,263,50,0,102,64,66,56,142,379
NM_001142336,162,379,427,409,385,210,297,280,207,231,358,276
NM_001142337,0,0,0,0,0,0,0,0,0,0,0,0
NM_010911,792,1012,861,691,724,365,733,783,937,570,1345,918
NM_172665,430,520,360,255,392,170,329,274,319,210,391,491
NM_173450,91,103,117,78,81,41,76,97,80,70,160,113
NM_001080944,3,25,14,5,6,0,9,11,18,10,29,9
NM_026934,1183,1400,1232,960,1162,502,1172,1591,1659,1045,2221,1177
NR_035479,0,0,0,0,0,0,0,0,0,0,0,0
NR_035478,1,0,0,0,0,0,1,0,0,0,0,0
NR_035477,0,0,0,0,0,0,0,0,0,0,0,0
NR_035476,0,0,0,0,0,0,0,0,0,0,0,0
NM_194335,167,157,122,81,101,55,67,99,140,69,144,137
NM_029021,0,0,0,0,0,0,0,0,0,0,0,0
NM_029688,1402,1948,1590,1153,1271,594,1397,1341,1273,930,2075,1675
NR_040499,0,0,0,0,0,0,0,0,0,0,0,0
NM_029687,0,7,0,0,0,0,0,2,0,0,0,0
NM_001077515,0,0,0,0,0,0,0,0,0,0,0,0
NM_144500,1131,1231,1036,896,962,484,983,939,1033,771,1486,1325
NM_001109691,4,43,5,10,33,0,30,45,42,17,90,55
NM_181266,97,167,253,197,267,126,126,192,184,83,391,176
NM_025592,4061,5639,5332,4518,4393,2314,4780,6522,7908,5138,10448,5410
NR_028376,262,187,194,131,203,86,205,236,287,217,350,212
NR_028377,0,0,0,0,0,0,0,0,0,0,0,0
NM_001042528,0,0,0,0,0,0,0,0,0,0,0,0
NM_025598,778,882,767,617,770,295,689,698,831,429,962,877
NM_008100,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199308_1,1057,1481,948,765,908,434,714,716,702,641,1380,1035
NR_037265_4,0,0,0,0,0,0,0,0,0,0,0,0
NR_106168,3,2,1,2,2,1,1,1,1,2,2,1
NM_145537,856,1033,888,832,759,393,677,937,1087,689,1801,1040
NR_040497,0,0,0,0,0,0,0,0,0,0,0,0
NM_028793,47,98,74,43,104,0,275,123,117,106,99,0
NM_001291432,162,0,194,0,0,0,0,0,0,0,0,192
NM_001037178,0,0,0,0,0,0,0,0,0,0,0,0
NM_138685,0,0,0,0,0,0,0,0,0,0,0,0
NM_138684,0,9,16,3,0,0,0,14,12,12,32,8
NM_008449,0,13,3,13,3,0,6,13,15,4,15,10
NM_133783,399,440,354,350,365,172,401,518,535,344,821,442
NM_001042653,13,16,8,14,10,6,13,43,67,42,61,30
NM_001289150,0,0,0,0,0,0,0,0,0,0,0,0
NM_029463,0,0,0,0,0,0,0,0,0,0,0,0
NM_199312,0,0,0,0,0,0,0,0,0,0,0,0
NM_199310,487,600,488,338,423,181,452,403,418,301,697,569
NM_026891,615,682,577,543,579,261,631,690,721,488,1062,702
NM_009773,105,131,64,88,83,38,89,545,1158,465,749,148
NM_009776,102128,124188,113258,88446,99256,49405,102001,109758,98547,96107,207242,122870
NM_153805,31,21,6,20,28,4,11,63,124,46,107,26
NM_007466,2361,2698,2238,1588,2148,960,2054,2696,3093,1995,3991,2436
NM_001102424,129,370,2,0,166,319,0,271,0,122,650,0
NM_001102425,168,374,0,0,667,0,226,397,336,257,508,0
NM_145538,692,756,647,515,621,314,733,867,1046,573,1173,661
NR_040639,0,0,0,0,0,0,0,0,0,0,0,0
NM_001102423,154,564,704,667,314,0,317,228,500,465,0,590
NM_025680,951,983,830,717,808,362,768,842,959,641,1467,980
NR_040634,0,0,0,0,0,0,0,0,0,0,0,0
NR_040637,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291039,0,0,0,0,0,0,1,0,0,0,0,0
NR_040631,0,0,0,0,0,0,0,0,0,0,0,0
NR_040633,0,0,0,0,0,0,0,0,0,0,0,0
NR_040632,0,0,0,0,0,0,0,0,0,0,0,0
NM_001025395,1768,1455,1404,1423,1607,686,1505,1713,2108,1614,3249,1778
NM_001029983,2793,3052,2942,2181,2372,1131,2437,2982,3602,2039,4739,3100
NM_207254,0,0,0,0,0,0,0,0,0,0,0,0
NR_036606,0,0,0,0,0,0,0,0,0,0,0,0
NM_009939,504,686,488,455,472,590,491,504,653,473,844,682
NM_008358,33,82,93,59,21,64,47,108,160,116,138,102
NR_015523,81,98,80,96,107,40,76,100,101,68,144,81
NM_146836,0,0,0,0,0,0,0,0,0,0,0,0
NM_001083960,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291032,0,0,0,0,0,0,0,0,0,0,0,29
NM_146838,0,0,0,0,0,0,0,0,0,0,0,0
NM_001205369,2780,2985,2193,1388,2580,1117,2644,1666,1662,1374,2629,2430
NR_015528,993,1168,1011,841,875,426,867,874,948,690,1366,1198
NR_033468,0,0,0,0,0,0,0,0,0,0,0,0
NM_028317,82,96,85,60,64,38,80,66,87,69,138,83
NM_001164053,167,112,57,48,36,60,68,2,46,33,102,138
NM_001291031,146,223,221,164,172,78,203,183,157,137,368,165
NM_001164055,0,0,33,0,18,0,6,0,23,149,0,0
NM_145122,392,442,393,369,386,172,339,344,318,259,663,504
NM_175631,0,0,0,0,0,0,0,0,0,0,0,0
NM_178889,2,1,26,3,1,279,0,516,0,0,3,3
NM_178888,652,602,489,449,622,242,594,430,370,386,801,538
NR_040745,0,0,0,0,0,0,0,0,0,0,0,0
NR_040747,0,0,0,0,0,0,0,0,0,0,0,0
NM_025777,0,0,0,0,0,0,0,0,0,0,0,0
NM_178887,0,0,0,0,0,0,0,0,0,2,0,0
NM_178886,1054,1138,974,640,824,406,590,878,1065,722,1205,1089
NM_178885,0,7,0,5,4,0,2,0,0,0,0,7
NR_028114,42,60,18,0,0,17,0,38,40,29,0,26
NM_153065,893,959,894,726,801,366,821,918,1101,710,1608,956
NR_028113,7,5,5,0,2,0,3,7,1,6,3,2
NM_010467,0,0,0,0,0,0,0,0,0,0,0,0
NM_010468,41,38,36,35,31,8,28,31,36,23,62,47
NM_010469,0,6,0,5,2,0,3,1,4,0,0,6
NM_025576,474,612,492,336,434,220,437,487,581,425,805,563
NM_001164216,662,819,643,497,566,283,672,746,716,454,987,666
NM_146907,0,0,0,0,0,0,0,0,0,0,0,0
NM_001199118,0,0,1,1,1,0,296,173,0,0,1,1
NM_146902,0,0,0,0,0,0,0,0,0,0,0,0
NM_146901,0,0,0,0,0,0,0,0,0,0,0,0
NM_146900,0,0,0,0,0,0,0,0,0,0,0,0
NM_001160424,0,0,0,7,0,0,5,0,0,0,0,0
NM_145635,0,0,0,0,0,0,0,0,0,0,0,0
NM_001080709,0,0,0,0,0,0,0,0,0,0,0,0
NM_146583,0,0,0,0,0,0,0,0,0,0,0,0
NR_040613,0,0,0,0,0,0,0,0,0,0,0,0
NM_146580,0,0,0,0,0,0,0,0,0,0,0,0
NM_146587,0,0,0,0,0,0,0,0,0,0,0,0
NM_146586,0,0,0,0,0,0,0,0,0,0,0,0
NM_146584,0,0,0,0,0,0,0,0,0,0,0,0
NM_009804,3113,3694,3104,2412,2589,1285,2768,2428,2527,1838,3735,3525
NM_146589,0,0,0,0,0,0,0,0,0,0,0,0
NM_146588,0,0,0,0,0,0,0,0,0,0,0,0
NM_001001882,230,226,16,175,349,239,502,292,191,195,245,760
NM_146341,0,0,0,0,0,0,0,0,0,0,0,0
NM_146343,0,0,0,0,0,0,0,0,0,0,0,0
NM_146342,0,0,0,0,0,0,0,0,0,0,0,0
NM_146349,0,0,0,0,0,0,0,0,0,0,0,0
NM_146348,0,0,0,0,0,0,0,0,0,0,0,0
NM_024225,649,1062,1332,439,970,460,750,592,1576,556,1299,565
NM_145832,206,177,96,91,0,36,69,81,156,40,218,104
NM_001039653,0,0,0,0,0,0,0,0,0,0,0,4
NM_001039122,14,21,7,9,13,10,13,5,10,5,13,13
NM_001101804_4,0,0,0,0,677,0,0,0,0,0,0,0
NM_001101804_5,0,301,0,0,0,0,0,0,0,0,0,0
NM_001101804_1,0,0,0,0,0,0,0,0,0,0,0,0
NM_145838,4,16,5,4,0,0,0,8,5,5,4,17
NM_001101804_3,0,0,0,0,0,0,0,0,397,0,0,0
NM_001171187,0,0,0,0,0,0,0,0,0,0,0,0
NM_001033477,0,0,0,0,0,0,0,0,0,0,0,0
NM_001085378,0,0,0,0,3,0,0,0,0,0,0,0
NM_001290675,0,0,0,0,0,0,0,0,0,0,0,0
NM_001290674,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011771,0,0,0,0,0,0,0,0,0,0,0,0
NR_030572,0,0,0,0,0,0,0,0,0,0,0,0
NR_110367,0,0,0,0,0,0,0,0,3,0,3,0
NM_001001322,0,0,0,0,0,0,0,0,0,0,0,0
NR_110368,0,0,0,0,0,0,0,0,0,0,0,0
NM_010073,910,1113,949,794,851,403,788,894,976,604,1325,1057
NM_010072,863,1146,898,658,874,420,761,831,868,644,1317,991
NR_040369,29,24,17,5,17,2,15,21,24,26,54,21
NR_040368,0,0,0,0,0,0,0,0,0,0,0,0
NM_009976,45828,53656,48616,36171,42127,18894,40865,31207,29814,23799,44109,46701
NM_010074,254,563,472,893,549,301,550,308,264,226,298,891
NM_009978,0,0,0,0,0,0,0,0,0,0,0,0
NM_013781,0,0,3,70,0,0,0,0,1,0,0,1
NR_040361,0,2,0,0,8,0,6,4,0,0,5,0
NR_040367,0,0,0,0,0,0,0,0,0,0,0,0
NR_040365,0,0,0,0,0,0,0,0,0,0,0,0
NM_001161806,0,0,0,0,0,0,0,0,0,0,0,0
NM_023336,303,0,437,1,1,1,1,2,1,0,2,3
NM_001038635,336,220,234,457,240,354,320,297,343,329,894,236
NR_029646,0,0,0,0,0,0,0,0,0,0,1,0
NR_027957,278,334,272,318,252,104,298,207,193,217,443,289
NR_110968,0,0,0,0,0,0,0,0,0,0,0,0
NR_110965,57,118,103,61,67,0,0,46,87,43,82,95
NR_110963,0,6,0,3,0,0,0,5,0,0,0,0
NR_110962,54,23,29,0,15,0,0,0,19,0,241,0
NM_001204166,0,0,0,0,0,0,0,0,0,0,0,0
NM_001204167,0,0,0,0,0,0,0,0,2,0,0,2
NM_001204165,102,87,78,62,50,28,48,25,29,22,41,115
NM_001252543,0,1,0,0,277,0,0,2,1,1,414,470
NM_001252542,22,23,17,6,8,5,13,4,22,2,29,16
NM_001252541,0,0,0,0,0,0,0,0,0,0,0,0
NM_025395,173,238,174,157,152,94,140,191,231,180,276,227
NM_001252547,152,228,196,141,181,32,0,76,124,137,345,294
NM_001252545,0,0,0,0,292,0,0,0,0,0,528,0
NM_001252544,1382,659,714,0,392,0,990,935,937,820,1330,0
NM_146762,0,0,0,0,0,0,0,0,0,0,0,0
NM_178724,169,194,166,127,135,73,144,161,196,109,271,193
NM_178725,0,22,0,17,0,7,0,33,53,0,0,0
NM_146767,0,0,0,0,0,0,0,0,0,0,0,0
NM_178723,37,34,47,17,3,14,45,29,30,31,15,38
NM_029862,813,915,947,668,772,401,834,726,935,477,1289,919
NM_146569,0,0,0,0,0,0,0,0,0,0,0,0
NM_146568,0,0,0,0,0,0,0,0,0,0,0,0
NM_009374,0,0,0,0,0,0,0,0,0,0,0,0
NM_013678,330,452,381,377,366,142,354,386,381,270,619,443
NM_009373,22657,27046,22624,14577,16437,8389,15737,22300,21793,15901,38271,23593
NR_111965,0,142,60,0,0,0,0,0,92,0,260,0
NM_001159376,0,0,0,3,0,0,0,0,0,0,0,2
NM_013677,608,721,531,463,461,269,432,511,471,394,849,523
NM_183354,0,0,0,0,0,0,0,0,0,2,0,0
NM_009378,32445,28139,26933,21191,26108,14377,25356,16723,13185,9908,21682,34263
NM_010784,199,209,159,0,240,57,157,142,115,132,152,277
NM_001110214,5,0,1,45,2,1,0,14,0,0,47,0
NM_001033254,0,0,0,0,0,0,0,0,0,0,0,0
NM_001033256,198,148,179,161,166,68,155,186,219,106,268,147
NM_022000,238,20,278,209,334,43,281,34,546,116,117,12
NM_001177627,0,0,0,0,0,0,0,0,0,0,0,0
NR_045919,0,0,0,0,0,0,0,0,0,0,0,0
NM_001111030,0,0,0,2,0,0,0,0,0,0,0,0
NM_027529,0,0,0,0,0,0,0,0,0,0,0,0
NM_138306,894,984,1007,913,1053,437,751,1116,1322,804,1863,941
NM_001006676,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006677,0,0,0,0,0,0,0,0,0,0,0,0
NM_001006674,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291185,0,0,0,0,0,0,0,0,0,0,0,0
NM_177727,1084,1046,970,803,861,473,978,974,1259,778,1674,1076
NM_009019,0,0,0,0,0,0,0,0,0,0,0,0
NM_001291189,0,0,0,0,0,0,0,0,0,0,0,0
NR_045269,121,134,99,82,95,54,109,89,68,57,117,153
NM_011305,4463,4102,3920,3062,3571,1796,3606,3472,3939,2696,5699,4397
